line_number,lyric_line
164,"The Devil had my soul, I can't lie"
165,Life gon' have some lows and some highs
166,Before the Grammy's ever gave a nod
167,"I wore my heart on my sleeve, I couldn't hide"
168,"In '03, they told me not to drive"
169,I bleached my hair for every time I could've died
170,"But I survived, that's on God"
171,I've been tellin' y'all since '05
172,The greatest artist restin' or alive
173,"That's on L.A. Reid, that's on Clive"
174,"That's no Jive, that's on God"
175,Off the 350s He supplied
176,The IRS want they fifty plus our tithe
177,"Man, that's over half of the pie"
178,"I felt dry, that's on God"
179,That's why I charge the prices that I charge
180,I can't be out here dancin' with the stars
181,"No, I cannot let my family starve"
182,"I go hard, that's on God"
183,"(Yo Pi'erre, you wanna come out here?)"
184,"Okay, okay, okay, okay"
185,We began after the storm inside
186,"Lay the land (Ah), it's just the morning light (Woo, woo)"
187,"Woo, woo, oh yeah"
188,"Woo-ooh, ooh-ooh"
189,"Switch your⁠, switch your attitude"
190,"Go 'head, level up yourself"
191,This that different latitude
192,"Ooh-ooh, ooh-ooh"
193,"Life too short, go spoil yourself"
194,"Feel that feel, enjoy yourself 'cause"
195,"We have everything we need (Ooh-ooh, ooh-ooh, oh)"
196,"We have everything we need (Ooh-ooh, ooh-ooh, oh, oh)"
197,"We have everything we need (Ooh-ooh, ooh-ooh, oh)"
198,"We have everything we need (Ooh-ooh, ooh-ooh, oh, woah)"
199,We have everything we need
200,We began after the storm inside
201,"Lay the land (Ah), it's just the morning light (Oh, yeah)"
202,"Switch my, switch my attitude"
203,"I'm so, I'm so radical"
204,All these people mad at dude
205,This for who it matter to
206,What if Eve made apple juice?
207,You gon' do what Adam do?
208,"Or say, ""Baby, let's put this back on the tree"" 'cause"
209,"We have everything we need (Ooh-ooh, ooh-ooh, oh)"
210,"We have everything we need (Ooh-ooh, ooh-ooh, oh, oh)"
211,"We have everything we need (Ooh-ooh, ooh-ooh, oh)"
212,"We have everything we need (Ooh-ooh, ooh-ooh, oh, woah)"
213,We have everything we need
214,We began after the storm inside
215,"Lay the land (Ah), it's just the morning light"
216,"Well, right"
217,"So, so well"
218,"Well, right"
219,"So, so"
220,High as the sun come out
221,Plannin'
222,Bootin'
223,Plannin'
224,Movin'
225,Plannin'
226,"Tubin', there"
227,"Well, well"
228,Clean us like the rain in spring
229,Take the chlorine out our conversation
230,Let Your light reflect on me
231,I promise I'm not hiding anything
232,It's water
233,We are water
234,Pure as water
235,Like a newborn daughter
236,The storm may come
237,But we'll get through it because of Your love
238,"Either way, we crash like water"
239,Your love's water
240,Pure as water
241,We are water
242,"Jesus, flow through us"
243,"Jesus, heal the bruises"
244,"Jesus, clean the music"
245,"Jesus, please use us"
246,"Jesus, please help"
247,"Jesus, please heal"
248,"Jesus, please forgive"
249,"Jesus, please reveal"
250,"Jesus, give us strength"
251,"Jesus, make us well"
252,"Jesus, help us live"
253,"Jesus, give us wealth"
254,Jesus is our safe
255,Jesus is our rock
256,"Jesus, give us grace"
257,"Jesus, keep us safe"
258,Clean us like the rain in spring
259,Take the chlorine out our conversation
260,Let Your light reflect on me
261,I promise I'm not hiding anything
262,It's water
263,We are water
264,Pure as water
265,Like a newborn daughter
266,God is
267,"My light in darkness, oh"
268,"God, God is"
269,"He, He is my all and all (And I'll never turn back)"
270,God is
271,Everything that hath breath praise the Lord
272,Worship Christ with the best of your portions
273,I know I won't forget all He's done
274,He's the strength in this race that I run
275,"Every time I look up, I see God's faithfulness"
276,And it shows just how much He is miraculous
277,"I can't keep it to myself, I can't sit here and be still"
278,"Everybody, I will tell 'til the whole world is healed"
279,"King of Kings, Lord of Lords, all the things He has in store"
280,"From the rich to the poor, all are welcome through the door"
281,You won't ever be the same when you call on Jesus' name
282,"Listen to the words I'm sayin', Jesus saved me, now I'm sane"
283,"And I know, I know God is the force that picked me up"
284,I know Christ is the fountain that filled my cup
285,"I know God is alive, yeah"
286,He has opened up my vision
287,Giving me a revelation
288,This ain't 'bout a dead religion
289,Jesus brought a revolution
290,All the captives are forgiven
291,Time to break down all the prisons
292,"Every man, every woman"
293,There is freedom from addiction
294,"Jesus, You have my soul"
295,Sunday Service on a roll
296,"All my idols, let 'em go"
297,"All the demons, let 'em know"
298,"This a mission, not a show"
299,This is my eternal soul
300,"This my kids, this the crib"
301,"This my wife, this my life"
302,This my God-given right
303,"Thank You, Jesus, won the fight"
304,That's what God is
305,Hand 'em
306,"Hands up high, hands on, hands on"
307,"Hands on, hands up"
308,"In your face, the reason"
309,"Hands on, yeah, hands on"
310,"Cut out all the lights, He the light"
311,"Got pulled over, see the brights"
312,What you doin' on the street at night?
313,Wonder if they're gonna read your rights
314,"Thirteenth Amendment, three strikes"
315,Made a left when I should've made a right
316,Told God last time on life
317,Told the devil that I'm going on a strike
318,"Told the devil when I see him, on sight"
319,I've been working for you my whole life
320,Told the devil that I'm going on a strike
321,I've been working for you my whole life
322,Nothing worse than a hypocrite
323,"Change, he ain't really different"
324,He ain't even try to get permission
325,Ask for advice and they dissed him
326,Said I'm finna do a gospel album
327,What have you been hearin' from the Christians?
328,They'll be the first one to judge me
329,Make it feel like nobody love me
330,They'll be the first one to judge me
331,Feelin' like nobody love me
332,Told people God was my mission
333,What have you been hearin' from the Christians?
334,They'll be the first one to judge me
335,Make it feel like nobody love me
336,Make you feel alone in the dark and you'll never see the light
337,"Man, you're never seein' home and you never see the domes"
