line_number,lyric_line
1767,First song they played for me was 'bout their friend that just died
1768,Textin' and drivin' down Mulholland Drive
1769,That's why I'd rather take the 405
1770,"I be worried 'bout my daughter, I be worried 'bout Kim"
1771,"But Saint is baby 'Ye, I ain't worried 'bout him"
1772,Had my life threatened by best friends with selfish intents
1773,What I'm supposed to do?
1774,Ride around with a bulletproof car and some tints?
1775,"Every agent I know, know I hate agents"
1776,"I'm too black, I'm too vocal, I'm too flagrant"
1777,"Something smellin' like shit, that's the new fragrance"
1778,"It's just me, I do it my way, bitch"
1779,"Some days I'm in my Yeezys, some days I'm in my Vans"
1780,"If I knew y'all made plans, I wouldn't have popped the Xans"
1781,I know some fans thought I wouldn't rap like this again
1782,"But the writer's block is over; emcees, cancel your plans"
1783,A 38-year-old 8-year-old with rich nigga problems
1784,Tell my wife that I hate the Rolls so I don't never drive it
1785,It took six months to get the Maybach all matted out
1786,And my assistant crashed it soon as they backed it out
1787,"Goddamn! Got a bald fade, I might slam"
1788,"Pink fur, got Nori dressin' like Cam"
1789,Thank God for me! (Los Angeles)
1790,"Whole family gettin' money, thank God for E!"
1791,"I love rockin' jewelry, a whole neckful"
1792,Bitches say he fun-ny and disrespectful
1793,I feel like Pablo when I'm workin' on my shoes
1794,I feel like Pablo when I see me on the news
1795,I feel like Pablo when I'm workin' on my house
1796,"Tell 'em party's in here, we don't need to go out"
1797,"We need the turbo thots, high speed, turbo thots"
1798,"Drop-dro-dro-dro-drop, like Robocop"
1799,"She brace herself and hold my stomach, good dick'll do that"
1800,"She keep pushin' me back, good dick'll do that"
1801,She push me back when the dick go too deep
1802,This good dick'll put your ass to sleep
1803,"Get money (Money, money, money)!"
1804,"Big, big money (Money, money, money!)"
1805,"And as far as real friends, tell all my cousins I love 'em"
1806,"Even the one that stole the laptop, you dirty motherfucker!"
1807,"I just keep on lovin' you, baby"
1808,"And there's no one else I know can take your pla-, pla-, pla-"
1809,"Please, no more parties in L.A."
1810,"Please, baby, no more parties in L.A., uh"
1811,No more parties in L.A.
1812,"Please, baby, no more parties in L.A., uh"
1813,No more parties in L.A.
1814,"Please, baby, no more parties in L.A., uh"
1815,"Let me tell you, I'm out here from a very far away place"
1816,All for a chance to be a star
1817,Nowhere seems to be too far
1818,Swish
1819,Dirt and grime and filth inside
1820,The story of my lifetime
1821,"Of cheating, stealing, never feeling"
1822,"Pain of a brother, your dirty mother"
1823,"Ha, ha, ha, look how far we are"
1824,"G-G-G-Good work, Charlie"
1825,(Perfect!)
1826,"Yeezy, Yeezy, Yeezy just jumped over Jumpman"
1827,(You!)
1828,"Yeezy, Yeezy, Yeezy, I feel so accomplished"
1829,I done talked a lot of shit but I just did the numbers
1830,"Herzog and Adidas, man, you know they love it"
1831,"If Nike ain't have Drizzy, man, they would have nothin', woo!"
1832,"If Nike ain't have Don C, man, they would have nothin', ooh!"
1833,"But I'm all for the family, tell 'em, ""Get your money"""
1834,"Yeezy, Yeezy, Yeezy, they line up for days"
1835,"Nike out here bad, they can't give shit away"
1836,"I stuck to my roots, I'm like Jimmy Fallon"
1837,I ain't dropped the album but the shoes went platinum (Woo!)
1838,"Every time I talk, they say I'm too aggressive"
1839,"I was out here spazzin', now y'all get the message?!"
1840,"On the field I'm over-reckless, on my Odell Beckham"
1841,"2020, I'ma run the whole election, yah!"
1842,"I've been trending years, y'all a couple days"
1843,Yeezy in the house and we just got appraised
1844,"Nike, Nike treat employees just like slaves"
1845,Gave LeBron a billi' not to run away (You!)
1846,"Ten-thousand dollar fur for Nori, I just copped it (You!)"
1847,Your baby daddy won't even take your daughter shoppin' (You!)
1848,I done wore designers I won't wear again
1849,"Make 'em niggas famous, they get arrogant"
1850,"Yeezy, Yeezy, Yeezy just jumped over Jumpman, ah!"
1851,"Yeezy, Yeezy, Yeezy just jumped over Jumpman"
1852,(Sonic boom!)
1853,"Yeezy, Yeezy, Yeezy, this is pure luxury"
1854,"I give 'em Grey Poupon on a DJ Mustard, ah!"
1855,"If you ain't poppin' shit then why you rap for, huh?"
1856,"Plus Kimoji just shut down the app store, ah!"
1857,"And we made a million a minute, we made a million a minute"
1858,(We did)
1859,"Yeah, we made a million a minute, we made a million a minute, ah!"
1860,Do anybody feel bad for Bill Cosby?
1861,Did he forget the names just like Steve Harvey? (You!)
1862,Tell Adidas that we need a million in production (You!)
1863,"I done told y'all, all I needed was the infrastructure (Boom!)"
1864,"Now we hottest in the streets, it ain't no discussion"
1865,"James Harden, Swaggy P runnin' up the budget (Yoga flame!)"
1866,Keep the work at my baby mama's mama's house
1867,"I'm a jerk, you need to work, you need to call my spouse"
1868,"Yeezy, Yeezy, take a picture with me on Rodeo"
1869,"Yeezy, Yeezy, Yeezy, I might do my own hotel"
1870,"Couches, couches, couches, couches, which one should I pick?"
1871,"I need extra deep, I like my bitches extra thick (sonic boom!)"
1872,"Every time I see the news, man it bring me home"
1873,"Call up DJ Mano, shout out Twilite Tone"
1874,"We just blessed to be alive, yeah, ain't that the truth?"
1875,So let's celebrate the life of Timbuck2
1876,"Timbuck2, Timbuck2"
1877,"Ha, ha, ha, look how far we are, are, are, are, are, are, are"
1878,(Perfect!)
1879,Your love is fadin'
1880,I feel it's fadin'
1881,When no one ain't around (I feel it's fadin')
1882,I think I think too much (I feel it's fadin')
1883,Ain't nobody watchin' (I feel it's fadin')
1884,I just fade away
1885,I feel it
1886,Fade away
1887,I feel it
1888,Fade away-ay-ay-ay
1889,I think I think too much
1890,I feel it
1891,Your love is fadin'
1892,I feel it
1893,"Roll up, roll up; hold up, hold up; po' up, po' up"
1894,I feel it
1895,I love to... I wanna... I'm tryna...
1896,I feel it
1897,"I'ma rock the boat, work the middle 'til it hurt a little"
1898,I feel it
1899,Your love is fadin'
1900,I feel it
1901,Fuckin' with a real ass nigga
1902,I feel it
1903,Fuck how you feel ass nigga
1904,I feel it
1905,Bitch better act like you know better
1906,I feel it
1907,Woah
1908,When no one ain't around (I feel it's fadin')
1909,I think I think too much (I feel it's fadin')
1910,Ain't nobody watchin' (I feel it's fadin')
1911,I just fade away (I feel it's fadin')
1912,"You don't even know, I've been so far gone (I feel it)"
1913,"I've been so led on, I've been runnin' 'round (I feel it)"
1914,"I've been on my shit, whole world on my dick (I feel it)"
1915,I just need to know (I can feel it)
1916,"Oh, deep inside"
1917,"Deep, deep, down inside"
1918,I feel it
1919,"Yes, deep inside"
1920,"Deep, deep, down inside"
1921,I feel it
1922,"Oh, deep inside"
1923,"Deep, deep, down inside"
1924,I feel it
1925,"Yes, deep inside"
1926,"I get lifted, yes"
1927,"Deep, deep, down inside"
1928,I can feel it
1929,"Oh, deep inside"
1930,"Oh, I get lifted, yes"
1931,"Deep, deep, down inside"
1932,I feel it
1933,"Yes, deep inside"
1934,"Oh, I get lifted, yes"
1935,"Deep, deep, down inside"
1936,I feel it
1937,"Oh, deep inside (Oh no, oh no, no, no, no)"
1938,"Oh, I get lifted, yes"
1939,"Deep, deep, down inside"
1940,I feel it
1941,"Yes, deep inside"
1942,"Oh, I get lifted, yes"
1943,"Deep, deep, down inside"
1944,I get
1945,I feel it's fadin'
1946,"Oh, I get lifted, yes"
1947,I feel it fadin'
1948,I feel it
1949,I feel it's fadin'
1950,"Yeah, 9:08 L.A. time"
1951,Back in the lab and shit
1952,"My wife said, ""I can't say no to nobody"""
1953,And at this rate we gon' both die broke
1954,Got friends that ask me for money knowin' I'm in debt
1955,"And like my wife said, I still didn't say no"
1956,People tryna say I'm goin' crazy on Twitter
1957,My friends' best advice was to stay low
1958,I guess it's hard to decipher all of the bills
1959,Especially when you got family members on payroll
1960,The media said it was outlandish spendin'
1961,The media said he's way out of control
1962,I just feel like I'm the only one not pretendin'
1963,"I'm not out of control, I'm just not in they control"
1964,I know I'm the most influential
1965,That TIME cover was just confirmation
1966,This generation's closest thing to Einstein
1967,"So don't worry about me, I'm fine"
1968,I can see a thousand years from now in real life
1969,Skate on the paradigm and shift it when I feel like
1970,"Troll conventional thought, don't need to question"
1971,I know it's antiquated so sometimes I get aggressive
1972,"Thank God for Jay Electra, he down with the mission"
1973,"Did it with no permission, on our own conditions"
1974,Most blacks with money have been beaten to submission
1975,"Yeezy with the big house, did it way different"
1976,Never listen to Hollywood producers
1977,"Don't stare at money too long, it's Medusa"
1978,The ultimate Gemini has survived
1979,I wasn't supposed to make it past 25
1980,"Yeah, you're lookin' at the church in the night sky"
1981,Wonderin' whether God's gonna say hi
1982,"Oh, you're lookin' at the church in the night sky"
1983,And you wonder where is God in your nightlife
1984,"Yeah, you're lookin' at the church in the night sky"
1985,"(Father, Father, Father in the night sky)"
1986,Wonderin' whether God's gonna say hi
1987,"Yeah, I feel like I'm home, yeah, yeah"
1988,I've been wakin' the spirits of millions more to come
1989,A million illegally downloaded my truth over the drums
1990,"I believe in the children, listen to the kids, bro"
1991,"If the phone ringin', go and get your kids, ho"
1992,Brother Don Muhammad told the minister about the presentation
1993,He sat back and smiled
1994,Black on black lies is worse than black on black crime
1995,The Jews share their truth on how to make a dime
1996,Most black men couldn't balance a checkbook
1997,"But buy a new car, talkin' 'bout, ""How my neck look?"""
1998,"Well, it all looks great"
1999,"Four hundred years later, we buyin' our own chains"
2000,"The light is before us brothers, so the devil workin' hard"
2001,Real family stick together and see through the mirage
2002,"The smokescreens, perceptions of false reality"
2003,Who the real owner if your boss gets your salary?
2004,I am one with the people
2005,I am one with the people (Real!)
2006,I've been woken from enlightened man's dream
2007,Checkin' Instagram comments to crowdsource my self-esteem
2008,Let me not say too much or do too much
2009,"'Cause if I'm up way too much, I'm out of touch"
2010,I'm prayin' a out-of-body experience will happen
2011,"So the people can see my light, now it's not just rappin'"
2012,"God, I have humbled myself before the court"
2013,Drop my ego and confidence was my last resort
2014,"I know, I know He got a plan, I know I'm on Your beams"
2015,"One set of footsteps, You was carryin' me"
2016,When I turned on the news and they was buryin' me
2017,"One set of footsteps, You was carryin' me"
2018,"When I was negotiatin' with Apple, it was Larry and me"
2019,"Told Tim Cook to call me, I was scary to see"
2020,I would've took a hundred million and gave twenty to Hov
2021,I heard it's the way they did it when we only had a stove
2022,But it's better that I stayed at home with my folks
2023,'Cause if Jay a billionaire then I'ma never go broke
2024,Only thing I ask is next time I'm on stage we all go
2025,We all go
2026,"Not just by myself, lookin' for niggas like where's Waldo"
2027,She got the same shoes as my wife but she copped 'em at Aldo
2028,"Modern-day MJ, with a off-the-wall flow"
2029,"Nightlife, walk all over me"
2030,Walk all over me
2031,I'm deliverin' everything I've ever sent that you'll bring
2032,"Fly, fly, fly overseas"
2033,Fly overseas
2034,"Oh, anywhere, everything but in between"
2035,"Oh, yeah"
2036,"Yeah, you're lookin' at the church in the night sky"
2037,Wonderin' whether God's gonna say hi
2038,"Oh, you're lookin' at the church in the night sky"
2039,And you wonder where is God in your nightlife
2040,"Yeah, you're lookin' at the church in the night sky"
2041,Wonderin' whether God's gonna say hi
2042,"(Father, Father, Father in the night sky)"
2043,"Oh, you're lookin' at the church in the night sky"
2044,And you wonder where is God in your nightlife
2045,"(Father, Father, Father in the night sky)"
2046,Please face me when I speak
2047,Please say to me somethin' before you leave
2048,"You've been treatin' me like I'm invisible, now I'm visible to you"
2049,"Oh, the invisible truths they sold"
2050,I can't quite understand the games you play
2051,"Understand, understand, understand I'm standin' under oath"
2052,"And I promised I, I wouldn't fall anymore"
2053,But I'm cryin' at the bar
2054,"I'm wishin' that you saw my scars, man"
2055,I'm wishin' that you came down here and stood by me
2056,And looked at me like you knew me
2057,But I feel so alone
2058,Like I don't know anyone except the night sky above
2059,"Yeah, you're lookin' at the church in the night sky"
2060,Wonderin' whether God's gonna say hi
2061,"Oh, you're lookin' at the church in the night sky"
2062,And you wonder where is God in your nightlife
2063,"Yeah, you're lookin' at the church in the night sky"
2064,"(Father, Father, Father in the night sky)"
2065,Wonderin' whether God's gonna say hi
2066,"Oh, you're lookin' at the church in the night sky"
2067,And you wonder where is God in your nightlife
2068,"(Father, Father, Father in the night sky)"
2069,Yeezy season approachin'
2070,Fuck whatever y'all been hearin'
2071,"Fuck what, fuck whatever y'all been wearin'"
2072,A monster about to come alive again
2073,Soon as I pull up and park the Benz
2074,We get this bitch shaking like Parkinsons
2075,Take my number and lock it in
2076,"Indian hair, no moccasins"
2077,It's too many hoes in this house of sin
2078,Real nigga back in the house again
2079,Black Timbs all on your couch again
2080,Black dick all in your spouse again
2081,And I know she like chocolate men
2082,"She got more niggas off than Cochran, hah!"
2083,"On sight, on sight"
2084,How much do I not give a fuck?
2085,Let me show you right now 'fore you give it up
2086,How much do I not give a fuck?
2087,Let me show you right now 'fore you give it up
2088,"Oh, he'll give us what we need"
2089,It may not be what we want
2090,Baby girl tryna get a nut
2091,And her girl tryna give it up
2092,Chopped 'em both down
2093,"Don't judge 'em, Joe Brown"
2094,One last announcement
2095,"No sports bra, let's keep it bouncin'"
2096,Everybody wanna live at the top of the mountain
2097,"Took her to the 'Bleau, she tried to sip the fountain"
2098,That when David Grutman kicked her out
2099,But I got her back in and put my dick in her mouth
2100,"On sight, on sight"
2101,Uh-huh
2102,Right now
2103,I need right now
2104,Right now
2105,"I need, I need right now"
2106,Right now
2107,"I need, I need right now"
2108,For my theme song (Black)
2109,My leather black jeans on (Black)
2110,My by-any-means on
2111,"Pardon, I'm getting my scream on (Black)"
2112,Enter the kingdom (Black)
2113,But watch who you bring home
2114,They see a black man with a white woman
2115,At the top floor they gone come to kill King Kong
2116,Middle America packed in (Black)
2117,Came to see me in my black skin (Black)
2118,Number one question they're askin'
2119,Fuck every question you askin' (Black)
2120,If I don't get ran out by Catholics (Black)
2121,Here come some conservative Baptists
2122,Claiming I'm overreactin'
2123,"Like them black kids in Chiraq, bitch"
2124,"Four in the mornin', and I'm zonin'"
2125,"They say I'm possessed, it's an omen"
2126,"I keep it 300, like the Romans"
2127,"300 bitches, where the Trojans?"
2128,"Baby, we livin' in the moment"
2129,I've been a menace for the longest
2130,"But I ain't finished, I'm devoted"
2131,"And you know it, and you know it"
2132,So follow me up cause this shit 'bout to go (Down)
2133,"I'm doing 500, I'm outta control (Now)"
2134,But there's nowhere to go (Now)
2135,And there's no way to slow (Down)
2136,If I knew what I knew in the past
2137,I would've been blacked out on your ass
2138,"Four in the mornin', and I'm zonin'"
2139,"They say I'm possessed, it's an omen"
2140,"I keep it 300, like the Romans"
2141,"300 bitches, where the Trojans?"
2142,"Baby, we livin' in the moment"
2143,I've been a menace for the longest
2144,"But I ain't finished, I'm devoted"
2145,"And you know it, and you know it"
2146,Stop all that coon shit (Black)
2147,Early morning cartoon shit (Black)
2148,This is that goon shit
2149,Fuck up your whole afternoon shit
2150,I'm aware I'm a wolf
2151,Soon as the moon hit
2152,I'm aware I'm a king
2153,"Back out the tomb, bitch (Black)"
2154,"Black out the room, bitch (Black)"
2155,Stop all that coon shit (Black)
2156,These niggas ain't doin' shit (Black)
2157,Them niggas ain't doin' shit
2158,"Come on, homie, what happened?"
2159,"You niggas ain't breathin', you gaspin'"
2160,These niggas ain't ready for action
2161,Ready—ready for action—action
2162,"Four in the mornin', and I'm zonin'"
2163,"I think I'm possessed, it's an omen"
2164,I keep it 300 like the Romans
2165,"300 bitches, where the Trojans?"
2166,"Baby, we livin' in the moment"
2167,I've been a menace for the longest
2168,"But I ain't finished, I'm devoted"
2169,"And you know it, and you know it"
2170,So follow me up cause this shit 'bout to go (Down)
2171,"I'm doing 500, I'm outta control (Now)"
2172,But there's nowhere to go (Now)
2173,And there's no way to slow (Down)
2174,If I knew what I knew in the past
2175,I would've been blacked out on your ass
2176,God! God! God! God!
2177,God! God! God!
2178,"""Blazin, mi don't want dem"
2179,Mi need dem
2180,"Blazin"""
2181,"""Suh mi tek har outta bugah red and put her in a tall skirt"
2182,And now she find out what life is really worth
2183,"No to X rated"""
2184,"""Yo mi tek har outta bugah red and put her in a tall skirt"
2185,And now she find out what life is really worth
2186,"No to X rated"""
2187,I am a god
2188,Hurry up with my damn massage
2189,Hurry up with my damn ménage
2190,Get the Porsche out the damn garage
2191,I am a god
2192,Even though I'm a man of God
2193,My whole life in the hand of God
2194,So y'all better quit playin' with God
2195,Soon as they like you make 'em unlike you
2196,Cause kissin' people ass is so unlike you
2197,The only rapper compared to Michael
2198,So here's a few hatin'-ass niggas to fight you
2199,And here's a few snake-ass niggas to bite you
2200,And I don't even wanna hear 'bout what niggas might do
2201,Old niggas mentally still in high school
2202,Since the tight jeans they ain't never liked you
2203,Pink-ass polos with a fuckin' backpack
2204,But everybody know you brought real rap back
2205,"Nobody had swag, man, we the Rat Pack"
2206,"Virgil, Pyrex, Don C snapback"
2207,"Ibn diamond, Chi-town shinin'"
2208,"Monop' in this bitch again, changed the climate"
2209,Hop in this bitch to give Saint the garment
2210,Until the day I get struck by lightning
2211,I am a god
2212,So hurry up with my damn massage
2213,In a French-ass restaurant
2214,Hurry up with my damn croissants
2215,I am a god
2216,AHH!
2217,I just talked to Jesus
2218,"He said, ""What up, Yeezus?"""
2219,"I said, ""Shit—I'm chillin'"
2220,"Tryna stack these millions"""
2221,I know he the most high
2222,But I am a close high
2223,"Mi casa, su casa"
2224,That's our cosa nostra
2225,I am a god
2226,AHH!
2227,Ain't no way I'm givin' up. I'm a god
2228,"Chill, chill, chill, chill, chill, chill"
2229,My mama was raised in the era when
2230,Clean water was only served to the fairer skin
2231,"Doin' clothes, you woulda thought I had help"
2232,But they wasn't satisfied unless I picked the cotton myself
2233,You see it's broke nigga racism
2234,"That's that ""Don't touch anything in the store"""
2235,And it's rich nigga racism
2236,"That's that ""Come in, please buy more"""
2237,"""What you want, a Bentley? Fur coat? A diamond chain?"
2238,"All you blacks want all the same things"""
2239,"Used to only be niggas, now everybody playin'"
2240,Spendin' everything on Alexander Wang
2241,New slaves
2242,You see it's leaders and it's followers
2243,But I'd rather be a dick than a swallower
2244,You see it's leaders and it's followers
2245,But I'd rather be a dick than a swallower
2246,"I throw these Maybach keys, I wear my heart on the sleeve"
2247,"I know that we the new slaves, I see the blood on the leaves"
2248,"I see the blood on the leaves, I see the blood on the leaves"
2249,"I know that we the new slaves, I see the blood on the leaves"
2250,"They throwin' hate at me, want me to stay at ease"
2251,"Fuck you and your corporation, y'all niggas can't control me"
2252,"I know that we the new slaves, I know that we the new slaves"
2253,"I'm 'bout to wild the fuck out, I'm goin' Bobby Boucher"
2254,"I know that pussy ain't free, you niggas pussy, ain't me"
2255,"Y'all throwin' contracts at me, you know that niggas can't read"
2256,"Throw on some Maybach keys, fuck it, c'est la vie"
2257,"I know that we the new slaves, y'all niggas can't fuck with me"
2258,"Y'all niggas can't fuck with Ye, y'all niggas can't fuck with Ye"
2259,I'll move my family out the country so you can't see where I stay
2260,"So go and grab the reporters, so I can smash their recorders"
2261,"See, they'll confuse us with some bullshit like the New World Order"
2262,Meanwhile the DEA teamed up with the CCA
2263,"They tryna lock niggas up, they tryna make new slaves"
2264,"See, that's that privately owned prison, get your piece today"
2265,"They prolly all in the Hamptons, braggin' 'bout what they made"
2266,"Fuck you and your Hampton house, I'll fuck your Hampton spouse"
2267,Came on her Hampton blouse and in her Hampton mouth
2268,"Y'all 'bout to turn shit up, I'm 'bout to tear shit down"
2269,"I'm 'bout to air shit out, now what the fuck they gon' say now?"
2270,"I won't end this high, not this time again"
2271,"So long, so long, so long, you cannot survive"
2272,"And I'm not dyin', and I can't lose"
2273,"I can't lose, no, I can't lose"
2274,'Cause I can't leave it to you
2275,"So let's get too high, get too high again"
2276,"Too high again, too high, ooh hoo-hoo-hoo, woo"
2277,"Yeah, h-h-h-high, h-high-high, high-high high-igh-high-high"
2278,"H-high-igh, yeah, high, high-igh"
2279,Egyszer a Nap úgy elfáradt (mhm-igh)
2280,Elaludt mély zöld tó ölén
2281,Az embereknek fájt a sötét
2282,"Ő megsajnált, eljött közénk"
2283,I can hold my liquor
2284,But this man can’t handle his weed
2285,Dark and lonely now
2286,"On Chicago, south of town"
2287,I'm on to Indiana
2288,I heard it in the radio now
2289,I can't handle no liquor
2290,But these bitches can't handle me
2291,I can't control my niggas
2292,And my niggas they can't control me
2293,"You say you know me, my nigga"
2294,But you really just know the old me
2295,"Bitch, I'm back out my coma"
2296,Wakin' up on your sofa
2297,When I park my Range Rover
2298,Slightly scratch your Corolla
2299,"Okay, I smashed your Corolla"
2300,I'm hangin' on a hangover
2301,Five years we been over
2302,Ask me why I came over
2303,One more hit and I can own ya
2304,One more fuck and I can own ya
2305,One cold night in October
2306,Pussy had me floatin'
2307,Feel like Deepak Chopra
2308,Pussy had me dead
2309,Might call 2Pac over
2310,Yeezy's all on your sofa
2311,These the Red Octobers
2312,Still ain't learn me no manners
2313,You love me when I ain't sober
2314,You love me when I'm hungover
2315,Even when I blow doja
2316,Then her auntie came over
2317,Skinny bitch with no shoulders
2318,Tellin' you that I'm bogus
2319,"Bitch, you don't even know us"
2320,"""Baby girl, he's a loner"""
2321,Late-night organ donor
2322,"After that, he disown ya"
2323,After that he's just hopeless
2324,Soul mates become soulless
2325,"""When it's over it's over"""
2326,"And bitch, I'm back out my coma"
2327,Callin' up your uncle's place
2328,Shit's all over the place
2329,I don't hear your phone
2330,"Ohhh, I wanna phone home"
2331,I can't handle no liquor
2332,But these bitches can't handle me
2333,I can't control my niggas
2334,And my niggas they can't control me
2335,"You say you know me, my nigga"
2336,But you really just know the old me
2337,I heard you need a new fad (A new girl)
2338,I heard you need a new stack (A new girl)
2339,I heard you need a new phone (A new girl)
2340,I know your 'rents ain't be home (A new girl)
2341,Callin' up your uncle's place
2342,Shit's all over the place
2343,I don't hear your phone
2344,"Ohhh, I wanna phone home"
2345,"Damn, your lips very soft"
2346,As I turn my Blackberry off
2347,And I turn your bathwater on
2348,And you turn off your iPhone
2349,"Careless whispers, eye fuckin', bitin' ass"
2350,"Neck, ears, hair, legs, eating ass"
2351,"Your pussy's too good, I need to crash"
2352,"Your titties, let 'em out, free at last"
2353,"Thank God almighty, they free at last"
2354,We was up at the party but we was leavin' fast
2355,Had to stop at 7-Eleven like I needed gas
2356,"I'm lyin', I needed condoms, don't look through the glass"
2357,"Chasin' love, all the bittersweet hours lost"
2358,"Eatin' Asian pussy, all I need was sweet and sour sauce"
2359,Tell your boss you need an extra hour off
2360,Get you super wet after we turn the shower off
2361,That's all dem can do (Say wah? Say wah? Say wah? Say wah?)
2362,That's all dem can do
2363,We deal with action ting
2364,Just a badman ting a-dat man do
2365,"Action ting, yo, a badman ting"
2366,I'm a badman if you know say
2367,"Disrespect we no tek, no way José"
2368,Try that 'pon February the 30th
2369,"That's right, couldn't try that no day"
2370,When we roll 'round 'pon your block
2371,"Nuh badda feel seh we won't spray, like a aerosol can"
2372,When we roll 'round 'pon your block
2373,"Nuh badda feel seh we won't spray, like an aerosol can"
2374,We a gon' smile 'pon court day
2375,Becuh we beat murder charge like O.J
2376,"That’s right, I’m in it"
2377,(Should’ve known I would fall)
2378,I’m in it
2379,(Steppin' on cracks on the floor)
2380,That’s right
2381,(And your boys at your door)
2382,"That’s right, I’m in it"
2383,"(Well, you need to fight for your own)"
2384,"That’s right, I’m in it"
2385,(Then don’t let me at your table)
2386,I’m in it
2387,(If you just gonna lay there)
2388,Damn right
2389,"(Fist jumps in the air, you love flame wars)"
2390,"(I'll be gone long, grab that ass, shed your clothes)"
2391,"Uh, picked up where we left off"
2392,"Uh, I need you home when I get off"
2393,"Uh, you know I need that wet mouth"
2394,"Uh, I know you need that reptile"
2395,"Uh, she cut from a different textile"
2396,"Uh, she love different kinds of sex now"
2397,"Uh, black girl sippin' white wine"
2398,Put my fist in her like a civil rights sign
2399,And grabbed it with a slight grind
2400,And held it 'til the right time
2401,Then she came like AAAAAHHH!
2402,That's why I'm in it and I can't get out
2403,That's all dem can do (Say wah? Say wah? Say wah? Say wah?)
2404,That's why I'm in it and I can't get out
2405,(That's all dem can do)
2406,That's all dem can do
2407,We deal with action ting
2408,Just a badman ting a-dat man do
2409,That's right I'm in it
2410,"I'll be gone long, grab that ass, shed your clothes"
2411,"Say you long for me, for you"
2412,Lay it off with all your rules
2413,Star fucker
2414,"Who, where?"
2415,Time to take it too far now
2416,"Uh, Michael Douglas out the car now"
2417,"Uh, got the kids-and-the-wife life"
2418,"Uh, but can't wake up from the nightlife"
2419,"Uh, I'm so scared of my demons"
2420,"Uh, I go to sleep with a nightlight"
2421,"Uh, my mind move like a Tron bike"
2422,"Uh, pop a wheelie on the Zeitgeist"
2423,"Uh, I'm finna start a new movement"
2424,"Uh, being led by the drums"
2425,"Uh, I'm a rap-lic priest"
2426,"Uh, gettin' head by the nuns"
2427,"Uh, they don't play what I'm playin'"
2428,"Uh, they don't see what I'm sayin'"
2429,"Uh, they be ballin' in the D-League"
2430,"Uh, I be speakin' Swaghili"
2431,Strange fruit hangin' from the poplar trees
2432,Blood on the leaves
2433,I just need to clear my mind now
2434,It's been racin' since the summertime
2435,Now I'm holdin' down the summer now
2436,And all I want is what I can't buy now
2437,'Cause I ain't got the money on me right now
2438,And I told you to wait
2439,"Yeah, I told you to wait"
2440,So I'ma need a little more time now
2441,'Cause I ain't got the money on me right now
2442,And I thought you could wait
2443,"Yeah, I thought you could wait"
2444,These bitches surroundin' me
2445,All want something out me
2446,Then they talk about me
2447,Would be lost without me
2448,We could've been somebody
2449,Thought you'd be different 'bout it
2450,Now I know you not it
2451,So let's get on with it
2452,We could've been somebody
2453,'stead you had to tell somebody
2454,Let's take it back to the first party
2455,When you tried your first molly
2456,And came out of your body
2457,Running naked down the lobby
2458,And you was screamin' that you love me
2459,Before the limelight tore ya
2460,Before the limelight stole ya
2461,Remember we were so young
2462,When I would hold you
2463,Before the blood on the leaves
2464,I know there ain't wrong with me
2465,Something strange is happenin'
2466,You could've been somebody
2467,"We could've, ugh, we could've been somebody"
2468,Or was it on the first party
2469,When we tried our first molly
2470,And came out of our body
2471,Before they call lawyers
2472,Before you tried to destroy us
2473,How you gon' lie to the lawyer?
2474,It's like I don't even know ya
2475,I gotta bring it back to the 'nolia
2476,Fuck them other niggas 'cause I'm down with my niggas
2477,"I ride with my niggas, I'd die for my..."
2478,"To all my second-string bitches, tryin' get a baby"
2479,"Tryin' get a baby, now you talkin' crazy"
2480,I don't give a damn if you used to talk to JAY-Z
2481,"He ain't with you, he with Beyoncé, you need to stop actin' lazy"
2482,She Instagram herself like #BadBitchAlert
2483,He Instagram his watch like #MadRichAlert
2484,He only wanna see that ass in reverse
2485,Two-thousand-dollar bag with no cash in your purse
2486,"Now you sittin' courtside, wifey on the other side"
2487,"Gotta keep 'em separated, I call that apartheid"
2488,"Then she said she pregnant-ated, that's the night your heart died"
2489,Then you gotta go and tell your girl and report that
2490,Main reason 'cause your pastor said you can't abort that
2491,"Now your driver say that new Benz, you can't afford that"
2492,"All that cocaine on the table, you can't snort that"
2493,"That go into that, all that money that the court got"
2494,"All in on that alimony, uh"
2495,"Yeah-yeah, she got you, homie, yeah"
2496,"'Til death, but do your part, uh"
2497,Unholy matrimony
2498,"That summer night holdin' long and long, 'din long"
2499,Now waiting for the summer rose and (Breathe)
2500,And breathe and breathe
2501,And live and learn
2502,And livin' and livin' like I’m lonely
2503,"Lonely, lonely"
2504,And livin' all I have
2505,And livin' all
2506,And live
2507,I need to call it off
2508,"I need to, I need to make it known"
2509,"'nother one, something gone"
2510,Capricorn
2511,Dancing out on the lawn
2512,Fancy like the things she likes
2513,She lives her life
2514,I'm living mine
2515,All dem a gwaan dem a dem a dem a gwaan
2516,"Dem a gwaan gwaan gwaan, sof-sof-softer sof-softer"
2517,All dem a gwaan dem a dem a dem a gwaan
2518,"Dem a gwaan gwaan gwaan, softer than clay"
2519,Maybe it's 'cause she into Leos and I was into trios
2520,Plus all the trips to Rio couldn't have helped
2521,"It's gettin' cold, better bring your ski clothes"
2522,"Peekin' through the keyhole, the door locked by myself"
